Comment,Designator,Footprint,LCSC Part #
0.1uF,C101 C103 C105 C201 C203 C205 C207 C209 C211,C0603,
0Ohm,R205,R0603,C122704
1K,R203,R0603,
2K,R204,R0603,
4K7,R105 R106 R107 R212 R213 R214,R0603,C23162
10K,R101 R102 R111 R207 R208 R218 R219,R0603,
10uF,C102 C104 C202 C204 C206 C208 C210,C0805,
33Ohm,R103 R104 R209 R210,R0603,
330Ohm,R108 R109 R110 R211 R215 R216 R217,R0603,C23138
AP7365-33WG-7,IC101 IC201 IC202,SOT95P285X130-5N,C150742
BSS123,Q101 Q202,SOT23,C79015
BUZZER,BZ101 BZ201,SMT-8585-BUZZER,C94599
DMG3415U,Q201,SOT23-R,C96616
ESP32-C3-MINI-1U-N4,U203,XCVR_ESP32-C3-MINI-1U-N4,C2911374
ESP32-C3-WROOM-02-N4,U101,MODULE_ESP32-C3-WROOM-02-H4,C2934560
GREEN,LD101 LD201 LD202 LD203 LD204,LED-0603,C965798
JST1.04p,J102 J103 J104 J105 J203 J204 J205 J206,JST_SM04B-SRSS-TB(LF)(SN),C160404
JST1.06p,J101 J202,JST_SM06B-SRSS-TB(LF)(SN),C160405
MCP73831T-2ACI/OT,U201,SOT23-5,C424093
PMEG3020EJ 115,D101,SODFL2512X80N,C456093
PMEG3020EJ 115,D201,SODFL2512X80N,C456093
PMEG3020EJ 115,D202,SODFL2512X80N,C456093
SLLB520100,SW203,SLLB520100,C124922
TACT4X3,SW101 SW102 SW201 SW202 SW204 SW205,PICOMATE_SPST4X3,C720477
TF0475710001,J201,MOLEX_0475710001,C498185
WS2813_3535,LED101 LED201 LED202,PICOMATE_WS2813-50503535,C160214
YC164-JR-0722RL,R206,RESCAXE80P320X160X70-8N,C107373
microUSB,X101 X201 X202,4UCONN_20329_NARROW,C404969
